categoria,centroide_lat,centroide_lon,funcion,id,municipio_id,nombre
Localidad simple,-36.1887459763907,-65.2899702728719,,42098020,425091.0,LOVENTUE
Localidad simple,-36.2016818772905,-65.0972782402489,,42098030,420224.0,LUAN TORO
Localidad simple,-36.2640564040186,-65.5097731802402,,42098040,420350.0,TELEN
Localidad simple,-36.2048593679219,-65.4403752727094,CABECERA_DEPARTAMENTO,42098050,420399.0,VICTORICA
Localidad simple,-35.7811018772957,-63.3932493460357,,42105010,425014.0,AGUSTONI
Localidad simple,-35.7763229509013,-63.716840693317,,42105020,420116.0,DORILA
Localidad simple,-35.6633805937206,-63.760929267739,CABECERA_DEPARTAMENTO,42105030,420147.0,GENERAL PICO
Localidad simple,-35.5472936217159,-63.8200403343494,,42105040,425147.0,SPELUZZI
Localidad simple,-35.5855840986961,-63.5887521403772,,42105050,420147.0,TREBOLARES
Localidad simple,-38.2230515311115,-67.1709263654639,,42112005,422007.0,CASA DE PIEDRA
Localidad simple,-37.3400655492208,-67.6218500509991,,42112010,420287.0,PUELEN
Localidad simple,-37.7697053748681,-67.7172958236186,CABECERA_DEPARTAMENTO,42112020,420385.0,25 DE MAYO
Localidad simple,-36.1513889624763,-63.8541959060258,,42119010,420091.0,COLONIA BARON
Localidad simple,-36.1170514464671,-63.9040708614432,,42119020,420091.0,COLONIA SAN JOSE
Localidad simple,-36.1549581794141,-63.5121543730908,,42119030,420252.0,MIGUEL CANE
Localidad simple,-36.053677480752,-63.5632432919432,CABECERA_DEPARTAMENTO,42119040,420301.0,QUEMU QUEMU
Localidad simple,-36.2573837868411,-63.4481302030919,,42119050,425126.0,RELMO
Localidad simple,-36.0757513459043,-63.8875837941037,,42119060,420406.0,VILLA MIRASOL
Localidad simple,-35.5928646334622,-64.5586842581366,,42126010,420063.0,CALEUFU
Localidad simple,-35.7014889174834,-65.1025535202338,,42126020,420210.0,INGENIERO FOSTER
Localidad simple,-35.671688678266,-64.940569826581,,42126030,420210.0,LA MARUJA
Localidad simple,-35.1462930750947,-64.5006491231723,CABECERA_DEPARTAMENTO,42126040,420273.0,PARERA
Localidad simple,-35.6473423932767,-64.7695280662631,,42126050,425112.0,PICHI HUINCA
Localidad simple,-35.0548439319725,-64.5213693396742,,42126060,425119.0,QUETREQUEN
